Name,Platform,Year_of_Release,Genre,Genre_factor,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,GS_Category
Sonic Rivals 2,PSP,2007,Racing,1,Sega,0.44,0.67,0,1.48,60,24,78,35,Backbone Entertainment,E,high
Resistance 3,PS3,2011,Shooter,6,Sony Computer Entertainment,0.64,0.57,0.05,1.48,83,91,78,543,Insomniac Games,M,high
Drawn To Life: SpongeBob SquarePants Edition,DS,2008,Adventure,10,THQ,0.99,0.35,0,1.48,68,12,55,4,Altron,E,high
007: Quantum of Solace,X360,2008,Action,4,Activision,0.82,0.51,0.01,1.48,65,69,71,71,Treyarch,T,high
Major League Baseball 2K5,PS2,2005,Sports,0,Take-Two Interactive,0.72,0.56,0,1.48,82,19,74,20,Kush Games,E,high
Fight Night 2004,PS2,2004,Fighting,7,Electronic Arts,1.08,0.2,0,1.48,85,43,90,25,EA Sports,T,high
LEGO Star Wars III: The Clone Wars,X360,2011,Action,4,LucasArts,0.84,0.51,0,1.48,75,43,78,42,Traveller's Tales,E10+,high
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004,Action,4,Ubisoft,0.82,0.59,0,1.48,93,74,86,68,Ubisoft Shanghai,T,high
Call of Duty Black Ops: Declassified,PSV,2012,Action,4,Activision,0.71,0.43,0.07,1.47,33,58,48,479,Nihilistic,M,high
Tom Clancy's Ghost Recon: Future Soldier,X360,2012,Shooter,6,Ubisoft,0.93,0.4,0.02,1.47,79,75,72,334,Ubisoft Paris,M,high
Fight Night Round 3,X360,2006,Fighting,7,Electronic Arts,1.33,0.03,0.01,1.47,86,67,88,264,EA Chicago,T,high
Xenogears,PS,1998,Role-Playing,9,SquareSoft,0.29,0.19,0.89,1.46,84,15,84,204,SquareSoft,T,high
Super Scribblenauts,DS,2010,Puzzle,5,Warner Bros. Interactive Entertainment,1.06,0.29,0,1.46,81,53,82,46,5TH Cell,E10+,high
Super Monkey Ball,GC,2001,Puzzle,5,Atari,0.95,0.37,0.1,1.46,87,28,79,46,Amusement Vision,E,high
SoulCalibur IV,PS3,2008,Fighting,7,Ubisoft,0.72,0.4,0.14,1.46,85,65,79,129,Namco,T,high
Mario Superstar Baseball,GC,2005,Sports,0,Nintendo,0.93,0.24,0.25,1.46,76,38,86,41,Namco,E,high
Battlefield: Bad Company,X360,2008,Shooter,6,Electronic Arts,0.81,0.46,0.04,1.46,83,70,77,263,EA DICE,T,high
Homefront,X360,2011,Shooter,6,THQ,0.83,0.48,0.02,1.45,70,85,60,399,Kaos Studios,M,high
Onimusha 3: Demon Siege,PS2,2004,Action,4,Capcom,0.37,0.47,0.54,1.45,85,53,86,73,Capcom,M,high
Red Dead Revolver,PS2,2004,Shooter,6,Take-Two Interactive,0.71,0.55,0,1.45,73,42,78,70,Rockstar San Diego,M,high
Resident Evil: Outbreak,PS2,2003,Action,4,Capcom,0.54,0.35,0.46,1.45,71,40,83,94,Capcom,M,high
Mass Effect 2,PS3,2011,Role-Playing,9,Electronic Arts,0.78,0.45,0.03,1.45,94,62,85,1081,BioWare,M,high
LEGO Battles: Ninjago,DS,2011,Strategy,11,Warner Bros. Interactive Entertainment,1.02,0.32,0,1.45,59,14,69,11,Hellbent Games,E,high
NBA 2K14,PS4,2013,Sports,0,Take-Two Interactive,0.89,0.31,0.01,1.45,85,20,65,368,Visual Concepts,E,high
SingStar Pop,PS2,2007,Misc,3,Sony Computer Entertainment,0.04,1.08,0,1.44,73,13,75,8,SCEE London Studio,E10+,high
Disney Infinity,X360,2013,Action,4,Disney Interactive Studios,0.97,0.34,0,1.44,74,38,65,79,Avalanche Software,E10+,high
My Word Coach,DS,2007,Misc,3,Ubisoft,0.37,0.89,0,1.44,71,7,68,5,Ubisoft,E,high
Tiger Woods PGA Tour 2005,PS2,2004,Sports,0,Electronic Arts,1.03,0.32,0,1.44,88,30,82,20,EA Sports,E,high
NCAA Football 2003,PS2,2002,Sports,0,Electronic Arts,1.16,0.08,0,1.44,91,19,86,27,EA Sports,E,high
Star Wars: The Force Unleashed II,X360,2010,Action,4,LucasArts,0.95,0.37,0,1.43,61,59,57,180,LucasArts,T,high
Frogger 2: Swampy's Revenge,PS,1999,Action,4,Hasbro Interactive,0.8,0.54,0,1.43,77,4,79,8,Blitz Games,E,high
WWE SmackDown vs Raw 2008,X360,2007,Fighting,7,THQ,0.92,0.38,0,1.43,71,41,68,48,Yuke's,T,high
Kinect Joy Ride,X360,2010,Racing,1,Microsoft Game Studios,0.92,0.39,0,1.43,52,46,50,20,BigPark,E,high
Smarty Pants,Wii,2007,Misc,3,Electronic Arts,0.52,0.75,0,1.43,65,26,76,10,Planet Moon Studios,E,high
Classic NES Series: Super Mario Bros.,GBA,2004,Platform,2,Nintendo,0,0,1.39,1.43,84,14,86,44,Nintendo,E,high
Anno 2070,PC,2011,Strategy,11,Ubisoft,0,1.13,0,1.43,83,33,70,493,"Blue Byte, Related Designs",T,high
Hasbro Family Game Night,Wii,2008,Puzzle,5,Electronic Arts,0.96,0.33,0,1.43,63,12,75,11,EA Bright Light,E,high
Sonic Rivals,PSP,2006,Racing,1,Sega,0.73,0.42,0,1.42,64,25,78,38,Backbone Entertainment,E,high
BioShock,PS3,2008,Shooter,6,Take-Two Interactive,0.75,0.46,0.01,1.42,94,51,87,881,"Digital Extremes, 2K Marin",M,high
Mass Effect 3,PS3,2012,Role-Playing,9,Electronic Arts,0.63,0.56,0.03,1.42,93,30,55,1849,BioWare,M,high
Cabela's Big Game Hunter,PS2,2002,Sports,0,Activision,0.7,0.54,0,1.42,59,7,78,12,Sand Grain Studios,T,high
SimCity (2013),PC,2013,Simulation,8,Electronic Arts,0.48,0.77,0,1.42,64,75,22,4572,Maxis,E10+,high
The Legend of Zelda: The Minish Cap,GBA,2004,Action,4,Nintendo,0.89,0.22,0.22,1.42,89,56,90,203,Flagship,E,high
NFL Street,PS2,2004,Sports,0,Electronic Arts,1.15,0.08,0,1.42,80,36,89,45,EA Tiburon,E,high
Dead Space 2,PS3,2011,Shooter,6,Electronic Arts,0.73,0.48,0,1.42,89,78,84,535,Visceral Games,M,high
Tiger Woods PGA Tour 09 All-Play,Wii,2008,Sports,0,Electronic Arts,0.8,0.47,0,1.42,81,18,87,34,EA Tiburon,E,high
Metal Gear Rising: Revengeance,PS3,2013,Action,4,Konami Digital Entertainment,0.45,0.37,0.44,1.42,80,61,79,746,PlatinumGames,M,high
Rayman Raving Rabbids,Wii,2006,Misc,3,Ubisoft,1.22,0.06,0.02,1.42,76,54,79,116,Ubisoft Montpellier,E,high
Dragon Quest Monsters: Joker 2,DS,2010,Role-Playing,9,Square Enix,0.09,0.07,1.24,1.41,77,33,73,15,TOSE,E,high
UFC Undisputed 2010,PS3,2010,Fighting,7,THQ,0.8,0.4,0.02,1.41,85,54,72,48,Yuke's,T,high
Medal of Honor: Warfighter,PS3,2012,Action,4,Electronic Arts,0.48,0.62,0.06,1.41,55,22,60,250,Danger Close,M,high
Sonic's Ultimate Genesis Collection,X360,2009,Misc,3,Sega,0.85,0.43,0,1.41,79,45,85,40,Backbone Entertainment,E10+,high
Diablo III,X360,2013,Role-Playing,9,Activision,0.9,0.39,0,1.41,87,42,66,384,Blizzard Entertainment,M,high
Twisted Metal: Black,PS2,2001,Racing,1,Sony Computer Entertainment,1.19,0.17,0,1.41,91,15,84,98,Incognito Inc.,M,high
NASCAR 2005: Chase for the Cup,PS2,2004,Racing,1,Electronic Arts,0.69,0.54,0,1.41,87,19,84,15,EA Tiburon,E,high
Fight Night Round 4,X360,2009,Fighting,7,Electronic Arts,0.95,0.33,0,1.4,87,76,81,86,EA Canada,T,high
Spider-Man: The Movie,XB,2002,Action,4,Activision,1.07,0.28,0,1.4,79,29,75,11,Treyarch,E,high
LEGO Star Wars II: The Original Trilogy,PSP,2006,Action,4,LucasArts,0.58,0.5,0,1.4,83,11,86,26,Traveller's Tales,E10+,high
Dead Space,X360,2008,Action,4,Electronic Arts,0.89,0.39,0,1.4,89,79,87,768,EA Redwood Shores,M,high
LEGO Indiana Jones 2: The Adventure Continues,Wii,2009,Action,4,Activision,0.9,0.38,0,1.4,72,13,61,14,Traveller's Tales,E10+,high
Ridge Racer,PSP,2004,Racing,1,Sony Computer Entertainment,0.36,0.44,0.32,1.4,88,58,82,65,Namco,E,high
Sonic Advance 3,GBA,2004,Platform,2,THQ,0.74,0.52,0.08,1.4,79,30,84,34,Dimps Corporation,E,high
Colin McRae Rally 3,PS2,2002,Racing,1,Codemasters,0.03,1.05,0.02,1.4,86,25,77,24,Codemasters,E,high
Forza Horizon 2,XOne,2014,Racing,1,Microsoft Game Studios,0.5,0.78,0.01,1.4,86,85,82,977,Playground Games,E10+,high
Madden NFL 2002,PS,2001,Sports,0,Electronic Arts,0.78,0.53,0,1.39,88,9,80,7,EA Sports,E,high
Dynasty Warriors 5,PS2,2005,Action,4,Tecmo Koei,0.24,0.18,0.91,1.39,69,29,88,68,Omega Force,T,high
Injustice: Gods Among Us,X360,2013,Fighting,7,Warner Bros. Interactive Entertainment,0.97,0.3,0,1.38,81,63,79,362,NetherRealm Studios,T,high
Far Cry 2,PS3,2008,Action,4,Ubisoft,0.43,0.69,0.01,1.38,85,49,64,241,Ubisoft Montreal,M,high
Yoshi's New Island,3DS,2014,Platform,2,Nintendo,0.48,0.53,0.28,1.38,64,71,61,155,Arzest,E,high
True Crime: Streets of LA,XB,2003,Action,4,Activision,0.96,0.37,0,1.38,77,39,78,28,"Luxoflux, Inc.",M,high
Ryse: Son of Rome,XOne,2013,Action,4,Microsoft Game Studios,0.83,0.43,0,1.38,60,77,61,1409,Crytek,M,high
Mortal Kombat X,XOne,2015,Fighting,7,Warner Bros. Interactive Entertainment,1.03,0.21,0,1.38,86,21,73,279,"Warner Bros. Interactive Entertainment, NetherRealm Studios",M,high
Rise of the Tomb Raider,XOne,2015,Adventure,10,Square Enix,0.55,0.7,0.02,1.38,86,102,80,1288,Crystal Dynamics,M,high
Sonic Generations,X360,2011,Platform,2,Sega,0.71,0.53,0,1.38,77,49,83,340,"Sega, Sonic Team",E,high
Dave Mirra Freestyle BMX 2,PS2,2001,Sports,0,Acclaim Entertainment,0.67,0.53,0,1.38,81,21,81,18,"Z-Axis, Ltd.",T,high
Bakugan: Battle Brawlers,DS,2009,Action,4,Activision,1.26,0.02,0,1.38,60,6,67,7,Now Production,E,high
LEGO Indiana Jones: The Original Adventures,PS2,2008,Action,4,LucasArts,0.6,0.01,0,1.37,77,12,84,16,Traveller's Tales,E10+,high
Deus Ex: Human Revolution,X360,2011,Shooter,6,Square Enix,0.76,0.47,0.02,1.37,89,70,83,684,Eidos Montreal,M,high
Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,9,Square Enix,0.33,0.41,0.54,1.37,81,44,61,60,"Square Enix, Think and Feel",E10+,high
Call of Duty: Black Ops,Wii,2010,Shooter,6,Activision,0.8,0.45,0,1.37,80,25,58,87,Treyarch,M,high
Deus Ex: Human Revolution,PS3,2011,Shooter,6,Square Enix,0.5,0.59,0.07,1.37,89,50,82,682,Eidos Montreal,M,high
Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004,Role-Playing,9,Activision,0.99,0.33,0,1.37,86,67,86,140,Obsidian Entertainment,T,high
The Sims 2,PSP,2005,Simulation,8,Electronic Arts,0.49,0.55,0,1.37,65,17,69,32,Maxis,T,high
Dead Rising 2,PS3,2010,Action,4,Capcom,0.43,0.56,0.15,1.36,80,54,67,178,Blue Castle Games,M,high
Ridge Racer 7,PS3,2006,Racing,1,Namco Bandai Games,0.24,0.7,0.16,1.36,78,45,71,52,Namco Bandai Games,E,high
Tom Clancy's Ghost Recon 2,XB,2004,Shooter,6,Ubisoft,0.86,0.45,0,1.36,80,53,89,58,Red Storm Entertainment,T,high
Need for Speed: The Run,X360,2011,Action,4,Electronic Arts,0.63,0.57,0,1.36,68,65,60,160,Black Box,T,high
Crash Bandicoot 2: N-Tranced,GBA,2003,Platform,2,Vivendi Games,0.63,0.66,0,1.36,75,21,78,30,Vicarious Visions,E,high
Titanfall,X360,2014,Shooter,6,Electronic Arts,0.87,0.34,0.02,1.36,83,21,59,371,Bluepoint Games,M,high
Dead to Rights,PS2,2002,Shooter,6,Electronic Arts,0.67,0.52,0,1.36,73,20,89,36,Namco,M,high
WWE '13,PS3,2012,Action,4,THQ,0.51,0.6,0,1.35,76,24,81,99,THQ,T,high
Hasbro Family Game Night 2,Wii,2009,Misc,3,Electronic Arts,0.7,0.52,0,1.35,63,16,63,6,Electronic Arts,E,high
Gardening Mama,DS,2009,Puzzle,5,505 Games,0.79,0.42,0.01,1.35,60,17,93,4,Taito Corporation,E,high
Burnout Paradise,X360,2008,Racing,1,Electronic Arts,0.63,0.57,0.01,1.35,88,68,69,279,Criterion Games,E10+,high
Middle-Earth: Shadow of Mordor,XOne,2014,Action,4,Warner Bros. Interactive Entertainment,0.73,0.5,0.01,1.35,87,12,80,585,Monolith Productions,M,high
MotorStorm: Pacific Rift,PS3,2008,Racing,1,Sony Computer Entertainment,0.43,0.65,0.02,1.35,82,63,80,318,Evolution Studios,T,high
Samurai Warriors,PS2,2004,Action,4,Electronic Arts,0.22,0.05,1.06,1.35,73,37,87,23,Omega Force,T,high
Battlefield 4,PC,2013,Shooter,6,Electronic Arts,0.39,0.87,0,1.35,81,52,60,3517,EA DICE,M,high
Gears of War 4,XOne,2016,Shooter,6,Microsoft Game Studios,0.78,0.44,0,1.35,84,96,62,815,The Coalition,M,high
FIFA Soccer 08,PSP,2007,Sports,0,Electronic Arts,0.2,0.76,0,1.35,79,7,74,15,EA Canada,E,high
FIFA Soccer 09,PSP,2008,Sports,0,Electronic Arts,0.23,0.73,0.02,1.35,84,8,89,21,EA Canada,E,high
FIFA Soccer 08,X360,2007,Sports,0,Electronic Arts,0.31,0.89,0.01,1.35,82,43,79,57,EA Canada,E,high
Test Drive,PS2,2002,Racing,1,Atari,0.95,0.21,0.01,1.34,73,19,74,23,Pitbull Syndicate,T,high
Devil May Cry 4,X360,2008,Action,4,Capcom,0.79,0.34,0.08,1.34,84,61,80,248,Capcom,M,high
Tom Clancy's Rainbow Six: Vegas 2,PS3,2008,Shooter,6,Ubisoft,0.66,0.44,0.04,1.34,81,32,79,93,Ubisoft Montreal,M,high
Metroid: Other M,Wii,2010,Action,4,Nintendo,0.85,0.27,0.13,1.34,79,71,65,482,Team Ninja,T,high
Crysis 2,X360,2011,Action,4,Electronic Arts,0.71,0.49,0.02,1.34,84,72,75,533,Crytek,M,high
Chrono Trigger,DS,2008,Role-Playing,9,Square Enix,0.61,0.16,0.49,1.34,92,57,89,440,TOSE,E10+,high
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011,Fighting,7,Capcom,0.81,0.28,0.11,1.34,84,56,73,147,Capcom,T,high
Doom 3,XB,2005,Shooter,6,Activision,0.85,0.43,0,1.34,88,71,74,116,Vicarious Visions,M,high
Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,6,Ubisoft,0.77,0.45,0,1.34,74,24,69,252,Ubisoft Montreal,M,high
F1 2010,PS3,2010,Racing,1,Codemasters,0.25,0.75,0.08,1.34,84,46,78,83,Codemasters Birmingham,E,high
Monster Hunter Freedom,PSP,2005,Role-Playing,9,Capcom,0.24,0.03,1.03,1.34,71,34,86,78,Capcom,T,high
Donkey Kong Jungle Beat,GC,2004,Platform,2,Nintendo,0.84,0.22,0.24,1.34,80,49,83,30,Nintendo,E10+,high
Need for Speed Carbon,PS2,2006,Racing,1,Electronic Arts,1.22,0.05,0.05,1.34,74,26,84,60,EA Canada,E10+,high
Lost Planet: Extreme Condition,X360,2006,Shooter,6,Capcom,1.09,0.04,0.1,1.34,79,76,71,187,Capcom,T,high
Max Payne 2: The Fall of Max Payne,PS2,2003,Shooter,6,Take-Two Interactive,0.65,0.51,0,1.34,73,27,82,63,Rockstar Vienna,M,high
Battlefield: Bad Company,PS3,2008,Shooter,6,Electronic Arts,0.76,0.35,0.05,1.34,84,50,81,203,EA DICE,T,high
MVP Baseball 2004,PS2,2004,Sports,0,Electronic Arts,1.1,0.06,0,1.34,90,28,86,51,EA Sports,E,high
Alan Wake,X360,2010,Action,4,Microsoft Game Studios,0.66,0.5,0.05,1.33,83,100,81,1156,Remedy Entertainment,T,high
Metroid Prime 2: Echoes,GC,2004,Shooter,6,Nintendo,0.87,0.35,0.07,1.33,92,60,88,279,Retro Studios,T,high
Corvette,PS2,2004,Racing,1,TDK Mediactive,0.65,0.51,0,1.33,57,15,65,21,Steel Monkeys,E,high
WWE SmackDown vs Raw 2008,PS3,2007,Fighting,7,THQ,0.62,0.49,0.01,1.33,74,27,73,41,Yuke's,T,high
Skylanders SWAP Force,X360,2013,Platform,2,Activision,0.86,0.34,0,1.32,83,37,57,45,Vicarious Visions,E10+,high
Grand Theft Auto: Chinatown Wars,DS,2009,Action,4,Take-Two Interactive,0.58,0.56,0.05,1.32,93,85,83,280,Rockstar Leeds,M,high
UFC Undisputed 2010,X360,2010,Fighting,7,THQ,0.9,0.31,0,1.32,84,70,67,80,Yuke's,T,high
World of Warcraft: Wrath of the Lich King,PC,2008,Role-Playing,9,Activision,0.01,0.13,0,1.32,91,47,75,930,Blizzard Entertainment,T,high
NFL 2K3,PS2,2002,Sports,0,Atari,1.06,0.08,0,1.32,93,20,74,25,Visual Concepts,E,high
Assassin's Creed III: Liberation,PSV,2012,Action,4,Ubisoft,0.53,0.48,0.06,1.32,70,71,72,318,Ubisoft,M,high
Your Shape: Fitness Evolved,X360,2010,Sports,0,Ubisoft,0.79,0.41,0,1.32,73,32,75,25,Ubisoft Montreal,E,high
Need for Speed Underground Rivals,PSP,2005,Racing,1,Electronic Arts,0.69,0.37,0.02,1.32,74,36,85,38,Team Fusion,E,high
Rage,PS3,2011,Shooter,6,Bethesda Softworks,0.47,0.58,0.06,1.31,81,37,62,353,id Software,M,high
LEGO Harry Potter: Years 1-4,PS3,2010,Action,4,Warner Bros. Interactive Entertainment,0.55,0.55,0,1.31,79,42,80,52,Traveller's Tales,E10+,high
Madagascar,PS2,2005,Platform,2,Activision,0.78,0.45,0,1.31,69,25,74,25,Toys for Bob,E10+,high
The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,9,Namco Bandai Games,0.69,0.5,0,1.31,91,13,92,3963,CD Projekt Red Studio,M,high
Turok: Evolution,PS2,2002,Shooter,6,Acclaim Entertainment,0.64,0.5,0,1.31,61,20,73,27,Acclaim,M,high
[Prototype],X360,2009,Action,4,Activision,0.84,0.35,0,1.31,78,83,78,356,Radical Entertainment,M,high
Burnout 3: Takedown,XB,2004,Racing,1,Electronic Arts,0.84,0.43,0,1.31,94,76,72,139,Criterion Games,T,high
The Beatles: Rock Band,X360,2009,Misc,3,MTV Games,0.97,0.23,0,1.3,89,76,86,127,Harmonix Music Systems,T,high
NBA Live 07,PS2,2006,Sports,0,Electronic Arts,1.07,0.04,0.02,1.3,63,12,60,39,EA Sports,E,high
Yoshi's Woolly World,WiiU,2015,Platform,2,Nintendo,0.62,0.47,0.11,1.3,78,83,85,376,Good-Feel,E,high
Skylanders Giants,X360,2012,Action,4,Activision,0.75,0.44,0,1.3,80,35,66,38,Toys for Bob,E10+,high
SingStar '80s,PS2,2005,Misc,3,Sony Computer Entertainment,0.27,0.02,0,1.3,78,22,83,6,SCEA,T,high
Tekken 6,X360,2009,Fighting,7,Namco Bandai Games,0.71,0.41,0.05,1.3,80,59,70,132,"Namco Bandai Games America, Namco Bandai Games",T,high
Assassin's Creed Syndicate,XOne,2015,Action,4,Ubisoft,0.62,0.56,0,1.3,78,22,61,402,Ubisoft Quebec,M,high
Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,9,Nintendo,0.5,0.16,0.58,1.29,68,25,82,25,Creatures Inc.,E,high
LEGO Batman: The Videogame,PS3,2008,Action,4,Warner Bros. Interactive Entertainment,0.72,0.39,0,1.29,75,24,77,33,Traveller's Tales,E10+,high
Crysis 2,PS3,2011,Action,4,Electronic Arts,0.46,0.56,0.06,1.29,85,54,72,406,Crytek,M,high
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,2,TDK Mediactive,0.93,0.34,0,1.29,49,10,62,5,Pocket Studios,E,high
Namco Museum DS,DS,2007,Misc,3,Atari,1.13,0.01,0.06,1.29,67,19,59,8,M2,E,high
Deal or No Deal,Wii,2009,Misc,3,Zoo Games,1.2,0,0,1.29,56,4,50,5,Artefacts Studio,E,high
Transformers,PS2,2004,Shooter,6,Atari,0.63,0.49,0,1.29,75,51,86,27,Melbourne House,T,high
Dying Light,XOne,2015,Action,4,Warner Bros. Interactive Entertainment,0.86,0.3,0.01,1.29,74,26,78,387,Techland,M,high
Fallout 4,PC,2015,Role-Playing,9,Bethesda Softworks,0.51,0.67,0,1.29,84,38,54,7512,Bethesda Game Studios,M,high
Sonic Colors,DS,2010,Platform,2,Sega,0.69,0.47,0.01,1.29,79,26,79,66,Dimps Corporation,E,high
Assassin's Creed: Rogue,PS3,2014,Action,4,Ubisoft,0.46,0.56,0.06,1.29,72,53,75,292,Ubisoft Sofia,M,high
EA Playground,Wii,2007,Sports,0,Electronic Arts,0.68,0.47,0,1.29,66,32,76,30,EA Canada,E,high
The Elder Scrolls Online,XOne,2015,Role-Playing,9,Bethesda Softworks,0.78,0.38,0,1.28,77,11,84,613,ZeniMax Media,M,high
Champions of Norrath,PS2,2004,Role-Playing,9,Sony Online Entertainment,0.63,0.49,0,1.28,85,51,84,57,Snowblind Studios,T,high
Manhunt,PS2,2003,Action,4,Take-Two Interactive,0.63,0.49,0,1.28,76,47,83,136,Rockstar North,M,high
Need for Speed Carbon,Wii,2006,Racing,1,Electronic Arts,0.45,0.66,0.02,1.28,67,21,73,26,EA Canada,E10+,high
Silent Hill 2,PS2,2001,Action,4,Konami Digital Entertainment,0.62,0.49,0,1.28,89,34,89,557,KCET,M,high
Castlevania: Symphony of the Night,PS,1997,Platform,2,Konami Digital Entertainment,0.58,0.4,0.21,1.27,93,12,94,358,Konami,T,high
Guitar Hero: Aerosmith,Wii,2008,Misc,3,Activision,1.03,0.14,0,1.27,73,16,72,19,Vicarious Visions,T,high
The LEGO Movie Videogame,X360,2014,Action,4,Warner Bros. Interactive Entertainment,0.69,0.47,0,1.27,69,8,72,26,TT Games,E10+,high
The Sims 2: Nightlife,PC,2005,Simulation,8,Electronic Arts,1.22,0.05,0,1.27,76,31,66,71,Maxis,T,high
Dark Souls II,PS3,2014,Role-Playing,9,Namco Bandai Games,0.4,0.33,0.4,1.27,91,69,81,1107,From Software,T,high
Kid Icarus: Uprising,3DS,2012,Action,4,Nintendo,0.48,0.35,0.36,1.27,83,75,87,487,"Opus, Project Sora",E10+,high
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,9,Nintendo,0.44,0.29,0.47,1.27,59,46,63,134,"Nintendo, Spike Chunsoft",E,high
LEGO Batman: The Videogame,PS2,2008,Action,4,Warner Bros. Interactive Entertainment,0.72,0.03,0,1.27,77,8,89,17,Traveller's Tales,E10+,high
NBA 2K9,X360,2008,Sports,0,Take-Two Interactive,1,0.16,0,1.27,84,32,72,44,Visual Concepts,E,high
Tony Hawk's Underground,XB,2003,Sports,0,Activision,0.85,0.37,0,1.27,85,33,91,26,Neversoft Entertainment,T,high
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,4,Konami Digital Entertainment,0.45,0.47,0.17,1.27,75,70,62,1311,Kojima Productions,M,high
.hack//Infection Part 1,PS2,2002,Role-Playing,9,Atari,0.49,0.38,0.26,1.27,75,35,85,60,CyberConnect2,T,high
Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,0,Deep Silver,0.96,0.2,0,1.27,30,4,20,23,3G Studios,E,high
Valkyria Chronicles,PS3,2008,Role-Playing,9,Sega,0.71,0.19,0.24,1.27,86,60,86,433,Sega,T,high
WWE '12,X360,2011,Fighting,7,THQ,0.74,0.4,0,1.27,71,52,63,89,Yuke's,T,high
Sonic Adventure DX: Director's Cut,GC,2003,Platform,2,Sega,0.87,0.3,0.06,1.27,57,27,79,139,Sonic Team,E,high
Battle Arena Toshinden,PS,1994,Fighting,7,Sony Computer Entertainment,0.39,0.26,0.53,1.27,69,4,63,4,Tamsoft,T,high
WWE '13,X360,2012,Action,4,THQ,0.72,0.44,0,1.27,78,46,80,110,"THQ, Yuke's",T,high
Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,9,Square Enix,0.43,0.36,0.32,1.27,85,50,85,332,Virtuos,T,high
Need for Speed Rivals,PS3,2013,Racing,1,Electronic Arts,0.33,0.69,0.05,1.27,80,6,49,123,Ghost Games,E10+,high
EA Sports Active 2,Wii,2010,Sports,0,Electronic Arts,0.76,0.39,0,1.26,79,8,81,22,EA Canada,E,high
Rockstar Games presents Table Tennis,Wii,2007,Sports,0,Take-Two Interactive,0.39,0.72,0,1.26,68,36,58,21,Rockstar San Diego,E,high
Football Manager 2011,PC,2010,Sports,0,Sega,0,1.01,0,1.26,85,23,84,77,Sports Interactive,E,high
Tamagotchi Connection: Corner Shop,DS,2005,Simulation,8,Atari,0.1,0.02,1.12,1.26,59,20,77,6,NanaOn-Sha,E,high
Tomb Raider: Underworld,PS3,2008,Action,4,Eidos Interactive,0.45,0.55,0.05,1.26,75,42,72,166,Nixxes Software,T,high
LEGO Battles,DS,2009,Strategy,11,Warner Bros. Interactive Entertainment,0.77,0.37,0,1.25,65,29,89,51,Hellbent Games,E,high
NBA Live 2001,PS,2000,Sports,0,Electronic Arts,0.7,0.47,0,1.25,86,10,80,6,EA Sports,E,high
Saints Row IV,PS3,2013,Action,4,Deep Silver,0.56,0.41,0.09,1.25,76,26,63,278,Volition Inc.,M,high
Star Wars: The Force Unleashed,PS2,2008,Action,4,LucasArts,0.49,0,0.01,1.25,68,7,74,33,Krome Studios,T,high
SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,6,Sony Computer Entertainment,0.94,0.16,0.02,1.25,63,64,69,223,Slant Six,M,high
Need for Speed: Most Wanted,X360,2005,Racing,1,Electronic Arts,1,0.13,0.02,1.25,83,54,85,134,EA Canada,T,high
Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,9,Nintendo,0.71,0.19,0.31,1.25,64,27,83,74,Genius Sonority Inc.,E,high
Black,PS2,2006,Shooter,6,Electronic Arts,1.01,0.04,0.03,1.25,79,62,84,194,Criterion Games,M,high
Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,6,Ubisoft,0.47,0.53,0.03,1.25,86,32,76,81,Ubisoft Montreal,M,high
LittleBigPlanet PS Vita,PSV,2012,Platform,2,Sony Computer Entertainment,0.35,0.61,0.02,1.25,88,71,86,348,"Tarsier Studios, Double Eleven",E,high
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,9,Nintendo,0.48,0.35,0.34,1.25,69,44,88,190,"Spike Chunsoft Co. Ltd., Spike Chunsoft",E,high
RollerCoaster Tycoon 2,PC,2002,Strategy,11,Atari,1.19,0.05,0,1.25,74,22,85,135,Chris Sawyer,E,high
Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,4,Eidos Interactive,0.61,0.48,0,1.25,52,37,62,106,Core Design Ltd.,T,high
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,4,Ubisoft,0.52,0.56,0,1.25,87,45,86,34,Ubisoft Shanghai,T,high
Ratchet: Deadlocked,PS2,2005,Shooter,6,Sony Computer Entertainment,0.85,0.03,0.22,1.24,81,51,89,155,Insomniac Games,T,high
Winter Sports: The Ultimate Challenge,Wii,2007,Sports,0,RTL,0.45,0.67,0,1.24,52,15,68,4,49Games,E,high
